,lat,lon,setor
1,-49.31118112,-25.34924651,1
2,-49.31117038,-25.34928561,1
3,-49.31116789,-25.34936398,1
4,-49.31118422,-25.34942796,1
5,-49.3112244,-25.34949646,1
6,-49.31130968,-25.34964378,1
7,-49.31139243,-25.34977536,1
8,-49.31139991,-25.34978842,1
9,-49.31150026,-25.34996374,1
10,-49.31156885,-25.3500962,1
11,-49.31166204,-25.35026461,1
12,-49.31170749,-25.3503473,1
13,-49.31174903,-25.35042609,1
14,-49.31179371,-25.35052248,1
15,-49.3118368,-25.35063257,1
16,-49.31186186,-25.35071887,1
17,-49.31188891,-25.3508305,1
18,-49.31191164,-25.35091669,1
19,-49.31193436,-25.35100327,1
20,-49.31195866,-25.35108751,1
21,-49.31198649,-25.35117255,1
22,-49.31201628,-25.35125131,1
23,-49.3120445,-25.35132383,1
24,-49.31207585,-25.35140181,1
25,-49.31211543,-25.3514845,1
26,-49.31215578,-25.35156836,1
27,-49.3121938,-25.35164398,1
28,-49.31221969,-25.35169456,1
29,-49.31227647,-25.35179093,1
30,-49.31231409,-25.35185516,1
31,-49.31234701,-25.35191199,1
32,-49.31239208,-25.35198332,1
33,-49.31244029,-25.35205974,1
34,-49.31248654,-25.35213262,1
35,-49.31253395,-25.35220238,1
36,-49.31258449,-25.35226782,1
37,-49.3126642,-25.3523682,1
38,-49.31272041,-25.35243959,1
39,-49.31274271,-25.35247087,1
40,-49.312807,-25.35256233,1
41,-49.31286246,-25.35264866,1
42,-49.3129236,-25.35274065,1
43,-49.3129545,-25.35278291,1
44,-49.31303451,-25.35288688,1
45,-49.31310569,-25.35299269,1
46,-49.31314165,-25.35305642,1
47,-49.31318579,-25.35313776,1
48,-49.3132255,-25.35321276,1
49,-49.31325199,-25.35325882,1
50,-49.31329927,-25.35332058,1
51,-49.31333898,-25.35338111,1
52,-49.31336925,-25.35344479,1
53,-49.31339575,-25.35351101,1
54,-49.31344113,-25.35365029,1
55,-49.31348776,-25.35378397,1
56,-49.31353,-25.35389174,1
57,-49.31357287,-25.35399638,1
58,-49.31361446,-25.35410038,1
59,-49.31364031,-25.35420693,1
60,-49.31366112,-25.35430525,1
61,-49.31367498,-25.35440421,1
62,-49.31369327,-25.3545806,1
